,productName,ratingCount,favories,sellerPoint,price,productPoint,productQuestions
152,Hoover H-go 300 Hydro 2si 1 Arada Akıllı Robot Süpürge ve Paspas Siyah fshkeaa ,0,137 ,0,"3.394,03",0,0
153,Xiaomi Roborock S5 Max Akıllı Navigasyonlu Robot Süpürge - Beyaz (yedek Parça Seti Ile) Roborge-885548621 ,4 ,2668 ,0,7.199,0,0
154,Karcher Nt 70/2 Me Classic Islak Kuru Elektrikli Süpürge 2300 Wat NT70/2 ,2 ,77 ,9.1,5.790,0,0
155,Sunny Hero Power Sn7rbt02 Vacuum Mop Akıllı Robot Süpürge SN7RBT02 ,0,175 ,9.5,4.199,0,0
156,Arçelik Rs 9034 Hm Robot Süpürge 9034 HM ,1 ,236 ,0,5.899,0,0
157,Samsung Robot Supurge Vr055050wg Vr5000rm ,0,58 ,0,3.599,0,0
158,Ecovacs Deebot Ozmo T8 Aivi Akıllı Robot Süpürge 6943757614004 ,2 ,258 ,0,14.990,0,0
159,TROUVER Finder Lds Sensörlü Vacuum Mop Robot Süpürge Beyaz Rls3 RLS3 ,10 ,796 ,0,5.499,0,0
160,Anker T2253 Eufy Robovac G30 Hybrid Robot Süpürge 1215006 ,1 ,0,8.6,"4.256,95",0,0
161,Viomi V5 Pro Akıllı Robot Süpürge V5_Pro ,0,0,9.3,7.998,0,0
162,iRobot Roomba Combo Robot Süpürge Ve Paspas 2'si 1 Arada 2666467 ,11 ,1157 ,0,3.840,0,0
163,Liectroux 1-x009b Robot Süpürge Siyah 6939809300384S ,0,64 ,0,"2.015,04",0,0
164,EBOS 16h Vacuum Akılı Süpürge 3 Ü 1 Arada Paspas Ve Akılı Robot MVR0044 ,0,0,0,2.400,0,0
165,Karcher Km 70/15 C 2sb *cn Süpürme Makinası 41915171540 ,0,0,0,"7.557,29",0,0
166,HOBOT Legee 7 Süpürge Paspas 4 Ü 1 Arada HOBOT LEGEE 7 ,0,0,0,"8.169,99",0,0
167,Viomi V2 Pro Akıllı Robot Süpürge- 3 Yıl Uzunkaya Garantili viomi2842824 ,0,131 ,0,6.599,0,0
168,Robotuya Robogyro Gri Robot Süpürge Ve Paspas - Distribütör Garantili RoboGyro ,2 ,142 ,0,2.099,0,0
169,Robogil Luna-100 Robot Süpürge Kamera Navigasyonlu L-100 ,0,124 ,0,5.049,0,0
170,FANTOM Robot Süpürge Galaxy Fan123 ,0,75 ,0,"7.199,99",0,0
171,Tecbot M1 4in1 Akıllı Robot Süpürge Genpa Garantili Siyah ,0,0,9.6,8.999,0,0
172,Fakir Robert Iı Rs 720 Akıllı Robot Süpürge 41004400 ,0,385 ,0,4.599,0,0
173,Arçelik Rs 9034 Hm Robot Süpürge 8910211100 ,0,74 ,0,5.849,0,0
174,Beko Rs 8034 Hm Robot Süpürge 7642787 ,1 ,65 ,0,5.599,0,0
175,EBOS Eba 16hw Vacuum Akılı Süpürge 3 Ü 1 Arada Robot Süpürge Wifi Paspas MVR0000044 ,0,0,0,2.400,0,0
176,Viomi Viaomi V3 Max Robot Süpürge Beyaz V-RVCLM27A ,2 ,268 ,9.9,6.288,0,0
177,Xiaomi Vacuum Cleaner S6 White Robot Süpürge Roborge-985411 ,0,292 ,0,7.350,0,0
178,VESTEL V-bot Robot Süpürge V-BOT Robot ,0,0,0,2.899,0,0
179,iRobot Braava Jet M6 Robot Paspas IROBUP0001 ,5 ,802 ,8.9,"8.336,64",0,0
180,Liectroux C30b Robot Süpürge Siyah LCT30B ,108 ,3654 ,9.1,2.659,0,0
181,Beko Rs 2121 Robot Süpürge 37274682394 ,1 ,289 ,0,3.050,0,0
182,Beko Rs 8034 Hm Robot Süpürge RS 8034 HM Robot Süpürge ,2 ,268 ,8,5.749,0,0
183,Lura Wipe'n Clean Akıllı Çöp Istasyonlu Robot Süpürge 1621 Beyaz ,0,0,0,"9.750,60",0,0
184,Viomi V3 Vacuum Cleaner Lazer Sensör Robot Süpürge ( Viomi Türkiye Garantili ) VACUUMV3 ,114 ,3484 ,0,7.499,0,0
185,Ecowacs Ecovacs Deebot N79s Kendini Şarj Edebilen Akıllı Temizlik Robotu N79S ,0,167 ,0,4.899,0,0
186,Arçelik Rs 9034 Hm Robot Süpürge 32849222 ,1 ,250 ,0,5.899,0,0
187,Ecovacs Deebot Ozmo 950 Akıllı Robot Süpürge HBV00000SAUJD ,14 ,850 ,0,8.999,0,0
188,FANTOM Galaxy Xy 38 Temizlik Robotu(beyaz) 6363637282 ,2 ,159 ,9.8,"5.299,90",0,0
189,iRobot Roomba I3+ Akıllı Çöp Istasyonlu Robot Süpürge 2744556 ,17 ,4028 ,8.9,"8.169,05",0,0
190,Robogil Clara 100 Cam Temizleme Robotu Clara-100 ,1 ,53 ,0,4.849,0,0
191,Xiaomi Mi Vacuum Mop Pro ( Tr Resmi Ürünü ) Robot Süpürge Ve Paspas - Siyah 1213 ,0,0,0,5.599,0,0
192,FANTOM Galaxy Xy38 Akıllı Robot Süpürge TYC00297081996 ,0,0,0,"6.999,99",0,0
193,TROUVER Finder Robot Lds Vacuum-mop ( Xiaomi Türkiye Genpa Garantili) Beyaz ,14 ,127 ,0,5.599,0,0
194,VESTEL V-bot Robot Süpürge VESTEL V-bot Robot Süpürge ,1 ,61 ,0,"2.872,32",0,0
195,THOMAS Twin T2 Aquafılter Temizlik Robotu ,0,0,0,7.960,0,0
